Species,Product,Country,Volume,Value
Mussels,"Frozen Half Shell","Australia",60816,743043
Mussels,"Frozen Half Shell","Belgium",20720,250428
Mussels,"Frozen Half Shell","Canada",50476,543828
Mussels,"Frozen Half Shell","China, People's Republic of",221327,2800504
Mussels,"Frozen Half Shell","Dominican Republic",21600,258537
Mussels,"Frozen Half Shell","Fiji",8165,114589
Mussels,"Frozen Half Shell","France",93886,1189516
Mussels,"Frozen Half Shell","Germany",78254,984060
Mussels,"Frozen Half Shell","Guam",9540,141692
Mussels,"Frozen Half Shell","Guatemala",21020,265023
Mussels,"Frozen Half Shell","Hong Kong (Special Administrative Region)",52164,664382
Mussels,"Frozen Half Shell","Israel",21468,274580
Mussels,"Frozen Half Shell","Italy",34665,393671
Mussels,"Frozen Half Shell","Japan",21480,265411
Mussels,"Frozen Half Shell","Korea, Republic of",40781,511168
Mussels,"Frozen Half Shell","Lithuania",1200,14004
Mussels,"Frozen Half Shell","Malaysia",8640,109542
Mussels,"Frozen Half Shell","Marshall Islands",120,1728
Mussels,"Frozen Half Shell","Mauritius",2400,30089
Mussels,"Frozen Half Shell","Mexico",21600,281946
Mussels,"Frozen Half Shell","New Caledonia",192,2453
Mussels,"Frozen Half Shell","Papua New Guinea",4260,59491
Mussels,"Frozen Half Shell","Portugal",23814,296793
Mussels,"Frozen Half Shell","Samoa",660,9078
Mussels,"Frozen Half Shell","Samoa, American",360,5263
Mussels,"Frozen Half Shell","Saudi Arabia",63436,797826
Mussels,"Frozen Half Shell","Singapore",64987,779318
Mussels,"Frozen Half Shell","Solomon Islands",360,5850
Mussels,"Frozen Half Shell","Spain",84904,983930
Mussels,"Frozen Half Shell","Taiwan",54087,787226
Mussels,"Frozen Half Shell","Thailand",73840,941686
Mussels,"Frozen Half Shell","Tonga",600,7783
Mussels,"Frozen Half Shell","United Arab Emirates",107761,1363257
Mussels,"Frozen Half Shell","United Kingdom",30154,359572
Mussels,"Frozen Half Shell","Vanuatu",120,1639
Mussels,"Frozen Half Shell","Wallis and Futuna",120,1586
Mussels,"Frozen Half Shell","United States of America",582957,7213062
Mussels,"Frozen Whole","Australia",75670,473265
Mussels,"Frozen Whole","China, People's Republic of",80036,512325
